datetime,NT,KLN,HKI,Total
9/8/2018,125,153,58,336
10/8/2018,125,177,21,323
11/8/2018,97,168,33,298
12/8/2018,0,0,0,0
13/8/2018,121,210,48,379
14/8/2018,185,342,71,598
15/8/2018,149,201,47,397
16/8/2018,131,184,36,351
17/8/2018,118,187,29,334
18/8/2018,136,179,52,367
19/8/2018,0,0,0,0
20/8/2018,113,188,53,354
21/8/2018,196,313,17,526
22/8/2018,185,269,100,554
23/8/2018,106,160,36,302
24/8/2018,112,182,22,316
25/8/2018,114,188,61,363
26/8/2018,10,0,0,10
27/8/2018,117,179,42,338
28/8/2018,228,358,94,680
29/8/2018,150,194,45,389
30/8/2018,90,169,42,301
31/8/2018,134,182,15,331
1/9/2018,87,171,58,316
2/9/2018,0,0,0,0
3/9/2018,90,136,41,267
4/9/2018,239,347,81,667
5/9/2018,139,190,48,377
6/9/2018,94,179,47,320
7/9/2018,131,172,31,334
8/9/2018,98,175,26,299
9/9/2018,0,0,0,0
10/9/2018,137,186,60,383
11/9/2018,216,339,77,632
12/9/2018,143,214,47,404
13/9/2018,103,159,31,293
14/9/2018,124,180,42,346
15/9/2018,115,185,20,320
16/9/2018,0,0,0,0
17/9/2018,79,123,36,238
18/9/2018,2,14,17,33
19/9/2018,263,387,59,709
20/9/2018,140,228,85,453
21/9/2018,132,199,41,372
22/9/2018,110,162,54,326
23/9/2018,0,1,0,1
24/9/2018,138,202,34,374
25/9/2018,0,0,0,0
26/9/2018,261,380,63,704
27/9/2018,162,223,65,450
28/9/2018,103,179,64,346
29/9/2018,112,163,40,315
30/9/2018,0,0,0,0
1/10/2018,0,0,0,0
2/10/2018,106,160,46,312
3/10/2018,10,3,0,13
4/10/2018,0,8,0,8
5/10/2018,281,422,96,799
6/10/2018,134,232,42,408
7/10/2018,0,0,0,0
8/10/2018,199,299,52,550
9/10/2018,248,410,92,750
10/10/2018,141,214,47,402
11/10/2018,133,200,41,374
12/10/2018,121,209,56,386
13/10/2018,128,134,25,287
14/10/2018,0,0,0,0
15/10/2018,149,239,71,459
16/10/2018,226,397,78,701
17/10/2018,0,0,0,0
18/10/2018,265,336,93,694
19/10/2018,133,196,30,359
20/10/2018,120,164,18,302
21/10/2018,0,0,0,0
22/10/2018,144,172,52,368
23/10/2018,191,354,102,647
24/10/2018,172,205,31,408
25/10/2018,130,184,62,376
26/10/2018,136,202,40,378
27/10/2018,107,147,38,292
28/10/2018,0,0,0,0
29/10/2018,116,161,44,321
30/10/2018,216,338,85,639
31/10/2018,127,207,46,380
1/11/2018,133,180,45,358
2/11/2018,94,169,47,310
3/11/2018,10,5,0,15
4/11/2018,0,0,0,0
5/11/2018,130,190,39,359
6/11/2018,278,471,138,887
7/11/2018,134,156,50,340
8/11/2018,117,143,42,302
9/11/2018,114,213,44,371
10/11/2018,96,167,49,312
11/11/2018,0,0,0,0
12/11/2018,94,141,35,270
13/11/2018,141,212,57,410
14/11/2018,130,194,43,367
15/11/2018,104,141,32,277
16/11/2018,181,201,44,426
17/11/2018,172,268,53,493
18/11/2018,0,0,0,0
19/11/2018,228,237,84,549
20/11/2018,435,538,133,1106
21/11/2018,232,296,73,601
22/11/2018,205,310,97,612
23/11/2018,258,349,88,695
24/11/2018,165,277,77,519
25/11/2018,1,1,0,2
26/11/2018,238,218,42,498
27/11/2018,291,361,92,744
28/11/2018,215,325,39,579
29/11/2018,234,238,39,511
30/11/2018,148,213,12,373
1/12/2018,89,258,54,401
2/12/2018,0,5,0,5
3/12/2018,206,187,97,490
4/12/2018,2,11,3,16
5/12/2018,0,1,0,1
6/12/2018,1,0,2,3
